keyword,cpc,search_volume,v,competition,score,difficulty,priority_score
email marketing,1.74,27100,27100,low,0.435,25,20325.0
emailing marketing,1.74,27100,27100,low,0.435,25,20325.0
marketing emails,1.44,22200,22200,low,0.36,25,16650.0
email templates,0.91,9900,9900,low,0.2275,25,7425.0
what is email advertising,0.49,6600,6600,low,0.1225,25,4950.0
what is email marketing,0.49,6600,6600,low,0.1225,25,4950.0
email marketing tools,2.43,5400,5400,low,0.6075,25,4050.0
image for email,0.0,3600,3600,low,0.0,25,2700.0
email images,0.0,3600,3600,low,0.0,25,2700.0
images of email,0.0,3600,3600,low,0.0,25,2700.0
marketing email sample,1.02,1900,1900,low,0.255,25,1425.0
email marketing templates,1.05,1900,1900,low,0.2625,25,1425.0
marketing email template,1.05,1900,1900,low,0.2625,25,1425.0
email marketing template,1.64,1900,1900,low,0.41,25,1425.0
email promotion template,1.05,1900,1900,low,0.2625,25,1425.0
email templates for marketing,1.05,1900,1900,low,0.2625,25,1425.0
marketing email templates,1.05,1900,1900,low,0.2625,25,1425.0
marketing email examples,1.02,1900,1900,low,0.255,25,1425.0
email marketing meaning,0.22,1900,1900,low,0.055,25,1425.0
examples of email marketing,1.02,1900,1900,low,0.255,25,1425.0
email marketing sample,1.02,1900,1900,low,0.255,25,1425.0
email marketing example,1.0,1900,1900,low,0.25,25,1425.0
email advertising examples,1.02,1900,1900,low,0.255,25,1425.0
email marketing examples,1.02,1900,1900,low,0.255,25,1425.0
e mail marketing meaning,0.22,1900,1900,low,0.055,25,1425.0
free email marketing tools,1.66,1600,1600,low,0.415,25,1200.0
email marketing jobs,0.07,1600,1600,low,0.0175,25,1200.0
emailing campaign,2.69,1600,1600,low,0.6725,25,1200.0
email marketing job,0.07,1600,1600,low,0.0175,25,1200.0
jobs in email marketing,0.07,1600,1600,low,0.0175,25,1200.0
email marketing positions,0.07,1600,1600,low,0.0175,25,1200.0
free mailer,2.37,1600,1600,low,0.5925,25,1200.0
careers in email marketing,0.07,1600,1600,low,0.0175,25,1200.0
email marketing tools free,1.66,1600,1600,low,0.415,25,1200.0
email marketing careers,0.07,1600,1600,low,0.0175,25,1200.0
email advertising jobs,0.07,1600,1600,low,0.0175,25,1200.0
marketing email jobs,0.07,1600,1600,low,0.0175,25,1200.0
jobs for email marketing,0.07,1600,1600,low,0.0175,25,1200.0
email campaigns,2.69,1600,1600,low,0.6725,25,1200.0
email campaign,2.69,1600,1600,low,0.6725,25,1200.0
email marketing platform,2.02,1300,1300,low,0.505,25,975.0
email marketing platforms,2.02,1300,1300,low,0.505,25,975.0
email marketing software,2.36,1300,1300,low,0.59,25,975.0
email marketing class,1.25,1000,1000,low,0.3125,25,750.0
best email marketing tools,3.32,1000,1000,low,0.83,25,750.0
free tools for email marketing,2.76,1000,1000,low,0.69,25,750.0
email marketing course,1.25,1000,1000,low,0.3125,25,750.0
email marketing in digital marketing,1.0,1000,1000,low,0.25,25,750.0
email-marketing course,1.25,1000,1000,low,0.3125,25,750.0
email marketing free tools,2.76,1000,1000,low,0.69,25,750.0
courses on email marketing,1.25,1000,1000,low,0.3125,25,750.0
free email marketing tool,2.76,1000,1000,low,0.69,25,750.0
email marketing definition,0.25,1000,1000,low,0.0625,25,750.0
e mail marketing course,1.25,1000,1000,low,0.3125,25,750.0
email marketing strategies,1.41,880,880,low,0.3525,25,660.0
marketing email strategy,1.41,880,880,low,0.3525,25,660.0
email marketing campaign,2.03,720,720,low,0.5075,25,540.0
images in email marketing,0.0,720,720,low,0.0,25,540.0
email marketing campaigns,3.51,720,720,low,0.8775,25,540.0
email marketing pic,0.0,720,720,low,0.0,25,540.0
images for email marketing,0.0,720,720,low,0.0,25,540.0
email marketing picture,0.0,720,720,low,0.0,25,540.0
email marketing pictures,0.0,720,720,low,0.0,25,540.0
images of email marketing,0.0,720,720,low,0.0,25,540.0
email marketing pics,0.0,720,720,low,0.0,25,540.0
how to do email marketing,0.92,720,720,low,0.23,25,540.0
marketing email campaign,3.51,720,720,low,0.8775,25,540.0
email marketing images,0.0,720,720,low,0.0,25,540.0
email campaign marketing,3.51,720,720,low,0.8775,25,540.0
questions on email,0.0,590,590,low,0.0,25,442.5
email advertising,1.31,590,590,low,0.3275,25,442.5
email questions,0.0,590,590,low,0.0,25,442.5
email marketing kya hai,0.21,590,590,low,0.0525,25,442.5
what is email marketing in digital marketing,0.37,590,590,low,0.0925,25,442.5
questions about email,0.0,590,590,low,0.0,25,442.5
email blast marketing strategies,0.6,480,480,low,0.15,25,360.0
e-mail marketing strategies,0.6,480,480,low,0.15,25,360.0
free email templates,0.94,480,480,low,0.235,25,360.0
questions for email,0.0,480,480,low,0.0,25,360.0
email marketing strategy,0.6,480,480,low,0.15,25,360.0
strategies for email marketing,0.6,480,480,low,0.15,25,360.0
email blast strategy,0.6,480,480,low,0.15,25,360.0
email marketing approach,0.6,480,480,low,0.15,25,360.0
mailing marketing strategies,0.6,480,480,low,0.15,25,360.0
strategy for email marketing,0.6,480,480,low,0.15,25,360.0
email campaign software,3.29,480,480,low,0.8225,25,360.0
interview questions for email marketing,0.04,390,390,low,0.01,25,292.5
email marketing interview questions,0.04,390,390,low,0.01,25,292.5
email marketing questions interview,0.04,390,390,low,0.01,25,292.5
emailing software,3.0,390,390,low,0.75,25,292.5
email campaign tool,3.47,390,390,low,0.8675,25,292.5
email campaign tools,3.47,390,390,low,0.8675,25,292.5
email marketing in hindi,0.0,320,320,low,0.0,25,240.0
email campaign templates,1.34,320,320,low,0.335,25,240.0
e mail marketing in hindi,0.0,320,320,low,0.0,25,240.0
free email marketing courses,0.21,320,320,low,0.0525,25,240.0
email marketing free course,0.21,320,320,low,0.0525,25,240.0
email tools,2.28,320,320,low,0.57,25,240.0
free email marketing,1.56,320,320,low,0.39,25,240.0
free email marketing course,0.58,260,260,low,0.145,25,195.0
work home jobs email marketing,0.0,260,260,low,0.0,25,195.0
email marketing jobs work from home,0.0,260,260,low,0.0,25,195.0
best email marketing software,3.11,260,260,low,0.7775,25,195.0
free email marketing template,1.64,260,260,low,0.41,25,195.0
ईमेल मार्केटिंग क्या है,0.43,260,260,low,0.1075,25,195.0
email marketing course free,0.58,260,260,low,0.145,25,195.0
email marketing courses free,0.58,260,260,low,0.145,25,195.0
email marketing software free,1.38,210,210,low,0.345,25,157.5
what is email campaign,0.0,210,210,low,0.0,25,157.5
free email marketing software,1.38,210,210,low,0.345,25,157.5
email campaign meaning,12.51,210,210,medium,3.1275,55,94.5
what is an email campaign,0.0,210,210,low,0.0,25,157.5
best email examples,2.57,210,210,low,0.6425,25,157.5
email campaign examples,1.18,210,210,low,0.295,25,157.5
email campaigns examples,1.18,210,210,low,0.295,25,157.5
campaign email examples,1.18,210,210,low,0.295,25,157.5
email questions and answers,0.0,170,170,low,0.0,25,127.5
email process interview questions,0.0,140,140,low,0.0,25,105.0
